Fecha,PIB
2021-06-01,0.006506703940686383
2021-07-01,0.006703707283167641
2021-08-01,0.006703707283167641
2021-09-01,0.006703707283167641
2021-10-01,0.00444745784534728
2021-11-01,0.00444745784534728
2021-12-01,0.00444745784534728
2022-01-01,0.005699948234419772
2022-02-01,0.005699948234419772
2022-03-01,0.005699948234419772
2022-04-01,0.0028358975663277755
2022-05-01,0.0028358975663277755
2022-06-01,0.0028358975663277755
2022-07-01,0.001898008844248326
2022-08-01,0.001898008844248326
2022-09-01,0.001898008844248326
2022-10-01,0.0022326146493269285
2022-11-01,0.0022326146493269285
2022-12-01,0.0022326146493269285
2023-01-01,0.0008197873723654325
2023-02-01,0.0008197873723654325
2023-03-01,0.0008197873723654325
2023-04-01,0.0021883065732657414
2023-05-01,0.0021883065732657414
2023-06-01,0.0021883065732657414
2023-07-01,0.0024401803671159072
2023-08-01,0.0024401803671159072
2023-09-01,0.0024401803671159072
2023-10-01,0.003399108542210705
2023-11-01,0.003399108542210705
2023-12-01,0.003399108542210705
2024-01-01,0.0027055884868400306
2024-02-01,0.0027055884868400306
2024-03-01,0.0027055884868400306
2024-04-01,0.0023695077359136008
2024-05-01,0.0023695077359136008
2024-06-01,0.0023695077359136008
2024-07-01,0.0023662503959685686
2024-08-01,0.0023662503959685686
2024-09-01,0.0023662503959685686
2024-10-01,0.0018874844661696717
2024-11-01,0.0018874844661696717
2024-12-01,0.0018874844661696717
2025-01-01,-0.0007537117369874243
2025-02-01,-0.0007537117369874243
2025-03-01,-0.0007537117369874243
2025-04-01,
2025-05-01,
