fila,subfila,columna,subcolumna,valor
Septiembre de 2021,IMPORT,Taric,,"30322641332,71"
Octubre de 2021,IMPORT,Taric,,"31773125203,00"
Noviembre de 2021,IMPORT,Taric,,"34838939556,46"
Diciembre de 2021,IMPORT,Taric,,"33184674493,94"
Enero de 2022,IMPORT,Taric,,"34423169841,73"
Febrero de 2022,IMPORT,Taric,,"34594333011,06"
Marzo de 2022,IMPORT,Taric,,"38312515400,98"
Abril de 2022,IMPORT,Taric,,"37568232806,95"
Mayo de 2022,IMPORT,Taric,,"40294536127,17"
Junio de 2022,IMPORT,Taric,,"41309360296,83"
Julio de 2022,IMPORT,Taric,,"38699954332,43"
Agosto de 2022,IMPORT,Taric,,"36450046095,65"
Septiembre de 2022,IMPORT,Taric,,"41588273252,34"
Octubre de 2022,IMPORT,Taric,,"39072559899,09"
Noviembre de 2022,IMPORT,Taric,,"40633435740,44"
Diciembre de 2022,IMPORT,Taric,,"36256200839,91"
Enero de 2023,IMPORT,Taric,,"35601030762,67"
Febrero de 2023,IMPORT,Taric,,"35356558992,19"
Marzo de 2023,IMPORT,Taric,,"39043771778,40"
Abril de 2023,IMPORT,Taric,,"33572192523,83"
Mayo de 2023,IMPORT,Taric,,"37465037162,82"
Junio de 2023,IMPORT,Taric,,"36416938997,99"
Julio de 2023,IMPORT,Taric,,"34887764521,11"
Agosto de 2023,IMPORT,Taric,,"30177162791,69"
Septiembre de 2023,IMPORT,Taric,,"34921421841,97"
Octubre de 2023,IMPORT,Taric,,"37083495454,83"
Noviembre de 2023,IMPORT,Taric,,"37003513700,66"
Diciembre de 2023,IMPORT,Taric,,"32194553784,02"
Enero de 2024,IMPORT,Taric,,"33872952153,28"
Febrero de 2024,IMPORT,Taric,,"34184934952,05"
Marzo de 2024,IMPORT,Taric,,"33476703553,84"
Abril de 2024,IMPORT,Taric,,"38646583311,59"
Mayo de 2024,IMPORT,Taric,,"37065107670,47"
Junio de 2024,IMPORT,Taric,,"33681656604,24"
Julio de 2024,IMPORT,Taric,,"36483341496,66"
Agosto de 2024,IMPORT,Taric,,"31597369882,56"
Septiembre de 2024,IMPORT,Taric,,"34888207910,81"
Octubre de 2024,IMPORT,Taric,,"39212300479,59"
Noviembre de 2024,IMPORT,Taric,,"37771738073,24"
Diciembre de 2024,IMPORT,Taric,,"33859828627,40"
Enero de 2025,IMPORT,Taric,,"35973342732,18"
Febrero de 2025,IMPORT,Taric,,"35397939620,07"
Marzo de 2025,IMPORT,Taric,,"39601701824,33"
